2024-02-06 10:50:59,174 INFO    MainThread:36696 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2024-02-06 10:50:59,175 INFO    MainThread:36696 [wandb_setup.py:_flush():76] Configure stats pid to 36696
2024-02-06 10:50:59,175 INFO    MainThread:36696 [wandb_setup.py:_flush():76] Loading settings from /Users/georgivitanov/.config/wandb/settings
2024-02-06 10:50:59,175 INFO    MainThread:36696 [wandb_setup.py:_flush():76] Loading settings from /Users/georgivitanov/Desktop/Thesis/causal-flows/wandb/settings
2024-02-06 10:50:59,175 INFO    MainThread:36696 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'notebook_name': 'name_of_the_notebook'}
2024-02-06 10:50:59,175 INFO    MainThread:36696 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-06 10:50:59,175 INFO    MainThread:36696 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2024-02-06 10:50:59,175 INFO    MainThread:36696 [wandb_init.py:_log_setup():507] Logging user logs to /Users/georgivitanov/Desktop/Thesis/causal-flows/wandb/run-20240206_105059-sbat5knz/logs/debug.log
2024-02-06 10:50:59,175 INFO    MainThread:36696 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/georgivitanov/Desktop/Thesis/causal-flows/wandb/run-20240206_105059-sbat5knz/logs/debug-internal.log
2024-02-06 10:50:59,176 INFO    MainThread:36696 [wandb_init.py:init():547] calling init triggers
2024-02-06 10:50:59,176 INFO    MainThread:36696 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
